rank,breed_id,breed_name,type,loading
1,307,Mixed Breed,Dog,0.787047
2,141,Labrador Retriever,Dog,0.018181
3,218,Terrier,Dog,0.013355
4,103,German Shepherd Dog,Dog,0.009053
5,213,Spitz,Dog,0.006543
6,78,Doberman Pinscher,Dog,0.005028
7,189,Rottweiler,Dog,0.004841
8,26,Belgian Shepherd Malinois,Dog,0.003774
9,117,Hound,Dog,0.002628
10,128,Jack Russell Terrier,Dog,0.002484
11,109,Golden Retriever,Dog,0.002055
12,76,Dalmatian,Dog,0.00194
13,75,Dachshund,Dog,0.001717
14,152,Miniature Pinscher,Dog,0.001585
15,239,Yellow Labrador Retriever,Dog,0.001539
16,70,Collie,Dog,0.001219
17,173,Pit Bull Terrier,Dog,0.001182
18,39,Border Collie,Dog,0.001045
19,72,Corgi,Dog,0.000968
20,187,Retriever,Dog,0.000966
21,50,Bullmastiff,Dog,0.000896
22,202,Shepherd,Dog,0.000794
23,15,Australian Kelpie,Dog,0.00076
24,102,German Pinscher,Dog,0.000643
25,31,Black Labrador Retriever,Dog,0.000642
26,200,Shar Pei,Dog,0.000623
27,18,Basenji,Dog,0.000607
28,49,Bull Terrier,Dog,0.000605
29,32,Black Mouth Cur,Dog,0.000355
30,224,Toy Fox Terrier,Dog,0.000355
31,203,Shetland Sheepdog Sheltie,Dog,0.00032
32,44,Boxer,Dog,0.000291
33,119,Husky,Dog,0.000291
34,227,Weimaraner,Dog,0.00029
35,150,Mastiff,Dog,0.000286
36,71,Coonhound,Dog,0.000236
37,176,Pointer,Dog,0.000236
38,197,Scottish Terrier Scottie,Dog,0.000236
39,88,English Springer Spaniel,Dog,0.000236
40,14,Australian Cattle Dog/Blue Heeler,Dog,0.000236
41,111,Great Dane,Dog,0.000218
42,231,West Highland White Terrier Westie,Dog,0.000217
43,16,Australian Shepherd,Dog,0.000202
44,129,Jack Russell Terrier (Parson Russell Terrier),Dog,0.000185
45,5,Akita,Dog,0.000168
46,204,Shiba Inu,Dog,0.000168
47,24,Belgian Shepherd Dog Sheepdog,Dog,0.000134
48,10,American Staffordshire Terrier,Dog,0.000134
49,98,Fox Terrier,Dog,0.000134
50,185,Rat Terrier,Dog,0.000134
51,210,Smooth Fox Terrier,Dog,0.000118
52,81,Dutch Shepherd,Dog,0.000118
53,85,English Pointer,Dog,0.000118
54,93,Field Spaniel,Dog,0.000118
55,104,German Shorthaired Pointer,Dog,0.000118
56,64,Chocolate Labrador Retriever,Dog,0.000118
57,40,Border Terrier,Dog,0.000118
58,36,Bluetick Coonhound,Dog,0.000118
59,123,Irish Terrier,Dog,0.000118
60,190,Saint Bernard,Dog,0.0001
61,199,Setter,Dog,8.7e-05
62,96,Finnish Spitz,Dog,8.4e-05
63,108,Glen of Imaal Terrier,Dog,8.4e-05
64,233,Whippet,Dog,8.4e-05
65,148,Manchester Terrier,Dog,8.4e-05
66,130,Japanese Chin,Dog,8.3e-05
67,228,Welsh Corgi,Dog,5e-05
68,21,Bearded Collie,Dog,5e-05
69,114,Greyhound,Dog,5e-05
70,1,Affenpinscher,Dog,5e-05
71,105,German Spitz,Dog,1.9e-05
72,28,Bernese Mountain Dog,Dog,0.0
73,35,Blue Lacy,Dog,0.0
74,166,Otterhound,Dog,0.0
75,223,Tosa Inu,Dog,0.0
76,164,Nova Scotia Duck-Tolling Retriever,Dog,0.0
77,163,Norwich Terrier,Dog,0.0
78,162,Norwegian Lundehund,Dog,0.0
79,161,Norwegian Elkhound,Dog,0.0
80,160,Norwegian Buhund,Dog,0.0
81,158,Newfoundland Dog,Dog,0.0
82,157,New Guinea Singing Dog,Dog,0.0
83,156,Neapolitan Mastiff,Dog,0.0
84,9,American Hairless Terrier,Dog,0.0
85,153,Mountain Cur,Dog,0.0
86,151,McNab,Dog,0.0
87,168,Patterdale Terrier (Fell Terrier),Dog,0.0
88,37,Boerboel,Dog,0.0
89,149,Maremma Sheepdog,Dog,0.0
90,38,Bolognese,Dog,0.0
