rank,breed_id,breed_name,type,loading
1,103,German Shepherd Dog,Dog,0.9049
2,213,Spitz,Dog,0.135867
3,179,Poodle,Dog,0.081145
4,109,Golden Retriever,Dog,0.066382
5,205,Shih Tzu,Dog,0.057393
6,285,Persian,Cat,0.032911
7,266,Domestic Short Hair,Cat,0.026662
8,299,Tabby,Cat,0.026005
9,265,Domestic Medium Hair,Cat,0.025533
10,292,Siamese,Cat,0.025301
11,152,Miniature Pinscher,Dog,0.023966
12,189,Rottweiler,Dog,0.023342
13,206,Siberian Husky,Dog,0.022621
14,119,Husky,Dog,0.022513
15,264,Domestic Long Hair,Cat,0.021897
16,105,German Spitz,Dog,0.012042
17,141,Labrador Retriever,Dog,0.011369
18,218,Terrier,Dog,0.010909
19,307,Mixed Breed,Dog,0.009478
20,102,German Pinscher,Dog,0.005517
21,75,Dachshund,Dog,0.00141
22,201,Sheep Dog,Dog,0.000587
23,212,Spaniel,Dog,0.000352
24,130,Japanese Chin,Dog,0.000289
25,291,Selkirk Rex,Cat,5.9e-05
26,302,Torbie,Cat,3.8e-05
27,97,Flat-coated Retriever,Dog,2.9e-05
28,237,Wirehaired Terrier,Dog,2.9e-05
29,286,Pixie-Bob,Cat,1.1e-05
30,8,American Eskimo Dog,Dog,0.0
31,9,American Hairless Terrier,Dog,0.0
32,12,Anatolian Shepherd,Dog,0.0
33,22,Beauceron,Dog,0.0
34,6,Alaskan Malamute,Dog,0.0
35,13,Appenzell Mountain Dog,Dog,0.0
36,34,Bloodhound,Dog,0.0
37,46,Briard,Dog,0.0
38,47,Brittany Spaniel,Dog,0.0
39,48,Brussels Griffon,Dog,0.0
40,51,Cairn Terrier,Dog,0.0
41,52,Canaan Dog,Dog,0.0
42,66,Cirneco dell'Etna,Dog,0.0
43,67,Clumber Spaniel,Dog,0.0
44,68,Cockapoo,Dog,0.0
45,74,Curly-Coated Retriever,Dog,0.0
46,112,Great Pyrenees,Dog,0.0
47,175,Podengo Portugueso,Dog,0.0
48,170,Peruvian Inca Orchid,Dog,0.0
49,126,Italian Greyhound,Dog,0.0
50,196,Scottish Deerhound,Dog,0.0
51,124,Irish Water Spaniel,Dog,0.0
52,101,Galgo Spanish Greyhound,Dog,0.0
53,198,Sealyham Terrier,Dog,0.0
54,121,Illyrian Sheepdog,Dog,0.0
55,164,Nova Scotia Duck-Tolling Retriever,Dog,0.0
56,120,Ibizan Hound,Dog,0.0
57,113,Greater Swiss Mountain Dog,Dog,0.0
58,166,Otterhound,Dog,0.0
59,118,Hovawart,Dog,0.0
60,174,Plott Hound,Dog,0.0
61,106,German Wirehaired Pointer,Dog,0.0
62,107,Giant Schnauzer,Dog,0.0
63,116,Havanese,Dog,0.0
64,168,Patterdale Terrier (Fell Terrier),Dog,0.0
65,208,Skye Terrier,Dog,0.0
66,110,Gordon Setter,Dog,0.0
67,177,Polish Lowland Sheepdog,Dog,0.0
68,193,Sarplaninac,Dog,0.0
69,127,Italian Spinone,Dog,0.0
70,144,Leonberger,Dog,0.0
71,157,New Guinea Singing Dog,Dog,0.0
72,156,Neapolitan Mastiff,Dog,0.0
73,160,Norwegian Buhund,Dog,0.0
74,153,Mountain Cur,Dog,0.0
75,161,Norwegian Elkhound,Dog,0.0
76,151,McNab,Dog,0.0
77,180,Portuguese Water Dog,Dog,0.0
78,149,Maremma Sheepdog,Dog,0.0
79,181,Presa Canario,Dog,0.0
80,183,Puli,Dog,0.0
81,184,Pumi,Dog,0.0
82,186,Redbone Coonhound,Dog,0.0
83,162,Norwegian Lundehund,Dog,0.0
84,194,Schipperke,Dog,0.0
85,209,Sloughi,Dog,0.0
86,163,Norwich Terrier,Dog,0.0
87,140,Kyi Leo,Dog,0.0
88,138,Komondor,Dog,0.0
89,137,Klee Kai,Dog,0.0
90,136,Kishu,Dog,0.0
91,135,Kerry Blue Terrier,Dog,0.0
92,134,Keeshond,Dog,0.0
93,133,Karelian Bear Dog,Dog,0.0
94,191,Saluki,Dog,0.0
95,131,Jindo,Dog,0.0
96,158,Newfoundland Dog,Dog,0.0
97,142,Lakeland Terrier,Dog,0.0
98,86,English Setter,Dog,0.0
99,171,Petit Basset Griffon Vendeen,Dog,0.0
100,222,Tibetan Terrier,Dog,0.0
101,235,Wire Fox Terrier,Dog,0.0
102,77,Dandi Dinmont Terrier,Dog,0.0
103,219,Thai Ridgeback,Dog,0.0
104,255,Canadian Hairless,Cat,0.0
105,220,Tibetan Mastiff,Dog,0.0
106,221,Tibetan Spaniel,Dog,0.0
107,223,Tosa Inu,Dog,0.0
108,80,Dogue de Bordeaux,Dog,0.0
109,238,Xoloitzcuintle/Mexican Hairless,Dog,0.0
110,225,Treeing Walker Coonhound,Dog,0.0
111,226,Vizsla,Dog,0.0
112,229,Welsh Springer Spaniel,Dog,0.0
113,211,South Russian Ovtcharka,Dog,0.0
114,230,Welsh Terrier,Dog,0.0
115,79,Dogo Argentino,Dog,0.0
116,37,Boerboel,Dog,0.0
117,33,Black Russian Terrier,Dog,0.0
118,89,English Toy Spaniel,Dog,0.0
119,95,Finnish Lapphund,Dog,0.0
